kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Simalungun,Sumatera Utara,19.6,0.15,7.72,59.2,46.93,9.73,99.02156535731616,2.9697261658941803,0.1797000631535987,0.229176101282433,0.1796776237610705,0.2030009482104368,0.2084452635924606,Kemiskinan
Dairi,Sumatera Utara,23.5,0.04,7.1,62.9,46.12,9.89,98.27919932850378,2.840526155128331,0.187318600270598,0.240064491492886,0.1754895148977083,0.1990017129735118,0.1981256803652955,Kemiskinan
Nias Selatan,Sumatera Utara,23.1,0.75,16.32,58.7,39.61,6.52,98.09888105219748,0.3293434586992473,0.1991246255820576,0.2066517715307254,0.1805139625565801,0.2072777606951616,0.2064318796354749,Pangan Hewani
Humbang Hasundutan,Sumatera Utara,15.7,0.13,8.44,70.2,53.4,10.13,98.57771169129884,2.26117445834988,0.1810405303544318,0.2256611895093746,0.1980792990158762,0.1981560310967725,0.1970629500235445,Kemiskinan
Pakpak Bharat,Sumatera Utara,23.1,0.03,6.87,63.5,45.0,9.73,98.24305602925035,2.54942635808308,0.1949862594788753,0.2137762833288515,0.1843200201183965,0.2101112144499091,0.1968062226239672,Kemiskinan
Samosir,Sumatera Utara,23.4,0.0,11.63,78.4,67.73,9.61,98.72895855493812,2.562295201690942,0.2017101989595204,0.2232945191513515,0.1745170752887865,0.1927030737483085,0.2077751328520327,Kemiskinan
Serdang Bedagai,Sumatera Utara,15.5,0.04,6.97,58.8,48.55,9.12,99.05770987285229,3.3662863650385537,0.180255565963625,0.2187478092409751,0.1822050901434105,0.1966559434900386,0.2221355911619505,RLS
Nias Barat,Sumatera Utara,25.4,0.25,22.68,53.4,31.48,7.26,97.49119252818018,1.0306850514780743,0.1837964166602306,0.2280368259086903,0.1889463556683146,0.2000133696152982,0.1992070321474658,Kemiskinan
Kota Tanjung Balai,Sumatera Utara,3.9,0.06,11.97,66.5,64.89,9.69,99.79472509990624,2.9639964568332187,0.1770871577803191,0.2291551617511346,0.1784081106130721,0.1980510396930208,0.2172985301624531,Kemiskinan
Kota Pematangsiantar,Sumatera Utara,10.9,0.03,7.2,62.0,54.04,11.82,99.05903398598774,2.961418746255022,0.1902672586411373,0.2367250968196468,0.1830039711429218,0.213229617721966,0.1767740556743278,Kemiskinan
Kota Binjai,Sumatera Utara,22.3,0.04,4.75,62.8,56.71,11.2,98.48921963359176,3.600228873478468,0.1761704332740381,0.2404715190608578,0.1790191540593553,0.2003422508272626,0.2039966427784859,Kemiskinan
Kota Padang Sidempuan,Sumatera Utara,24.4,0.02,6.23,64.8,57.09,11.13,99.2856936904632,1.3908160534371616,0.2054781876994341,0.2066253342781808,0.172773839889412,0.2112363700039012,0.2038862681290716,Pangan Hewani
Kota Gunungsitoli,Sumatera Utara,13.8,0.07,14.72,53.3,46.96,8.76,97.5866835531846,1.268531749186064,0.1741055171592229,0.2531258450797346,0.1772107835813071,0.203254957714303,0.1923028964654321,Kemiskinan
Kepulauan Mentawai,Sumatera Barat,20.4,0.56,13.89,53.3,56.55,8.03,99.33687918467982,-1.8495152395285297,0.1910519105635091,0.200290599812722,0.1796438011886245,0.2064277792383116,0.2225859091968324,RLS
Pesisir Selatan,Sumatera Barat,21.6,0.06,7.49,57.0,45.57,8.81,100.87929042928602,-1.738398075424035,0.1836734557124931,0.2002349508676502,0.1800210078564811,0.2097111595113181,0.2263594260520572,RLS
Solok,Sumatera Barat,23.4,0.06,7.31,58.6,38.34,7.91,100.8412914218063,-0.983585062642832,0.1811838931158584,0.193022145803068,0.1822750036744397,0.2181324199088156,0.2253865374978179,RLS
Sijunjung,Sumatera Barat,22.2,0.16,5.78,55.0,35.91,8.62,101.09615312578576,-0.6905206787200463,0.1860328814119283,0.1892903726965101,0.1687185710570977,0.2223564497373459,0.2336017250971176,RLS
Tanah Datar,Sumatera Barat,22.4,0.03,4.28,56.6,41.84,9.29,100.58406102876712,-0.4676503440144352,0.180369084413481,0.1960484360864238,0.1874405344110381,0.2151328952499445,0.2210090498391121,RLS
Padang Pariaman,Sumatera Barat,20.5,0.06,6.27,52.7,37.68,8.42,100.22793398328793,-0.565000755261365,0.1870577374256218,0.2005043338795855,0.1812330371651054,0.2108946817622467,0.2203102097674403,RLS
Agam,Sumatera Barat,21.9,0.06,6.83,54.6,41.15,9.23,100.17088369837106,-0.2518805753854801,0.1869664268223293,0.206217235563689,0.1692344110280772,0.2138516318055054,0.2237302947803987,RLS
Lima Puluh Kota,Sumatera Barat,19.4,0.1,6.92,63.0,45.91,8.13,100.56965874033546,0.0203453398326862,0.1937156503142068,0.1900862938152923,0.1832259232860673,0.2126993607613446,0.2202727718230887,RLS
