kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,Melahirkan Tidak di Faskes,Kemiskinan,Konsumsi Protein,Pangan Hewani,RLS,faktor_dominan
Kepulauan Anambas,Kepulauan Riau,13.2,0.15,6.67,58.7,73.62,7.53,106.06457800816234,3.0876833603004323,0.1929280312290959,0.1484220235626126,0.1822238523905524,0.205823602862892,0.2706024899548467,RLS
Kota Batam,Kepulauan Riau,11.7,0.0,4.85,68.3,66.52,11.21,104.0635540220552,0.963010513252286,0.2038509114652864,0.1825039665973095,0.1853540211258843,0.1921495999204027,0.2361415008911168,RLS
Kota Tanjung Pinang,Kepulauan Riau,10.2,0.0,6.86,70.2,68.81,10.67,104.48706418394715,0.919582046601681,0.2047461540676506,0.1774620486971575,0.1874812663928319,0.1895452429567862,0.2407652878855734,RLS
Kota Adm. Jakarta Selatan,DKI Jakarta,12.3,0.0,3.03,69.6,59.9,11.95,106.810040030801,-6.272609076389855,0.1638361323480644,0.1810244526038222,0.1859625166968827,0.2162935323068296,0.2528833660444008,RLS
Kota Adm. Jakarta Timur,DKI Jakarta,13.0,0.0,4.09,67.6,61.26,11.99,106.90068939916,-6.254975892202364,0.1625951554928984,0.1762767743793173,0.189516759954735,0.2130186324631905,0.2585926777098585,RLS
Kota Adm. Jakarta Pusat,DKI Jakarta,16.8,0.0,4.63,66.8,53.84,11.61,106.83512425964672,-6.181201122381781,0.1798912720639447,0.1679641605009404,0.1853368771733442,0.2087098436600329,0.2580978466017376,RLS
Kota Adm. Jakarta Barat,DKI Jakarta,13.4,0.0,3.94,65.1,54.07,11.24,106.7483011685529,-6.165335178568248,0.1910771934472975,0.1736990144464136,0.1808409437619932,0.2055527751814151,0.2488300731628802,RLS
Kota Adm. Jakarta Utara,DKI Jakarta,14.4,0.0,6.44,72.5,59.93,10.85,106.8666152669384,-6.127184420072783,0.1782069425458366,0.1741293390409642,0.1936040167654706,0.2072604578943057,0.2467992437534226,RLS
Sukabumi,Jawa Barat,16.0,0.18,6.87,64.6,40.29,7.34,106.70756022014524,-7.076433849183366,0.1945090642056212,0.1781457861082442,0.1732931662702952,0.1833694719145737,0.2706825115012654,RLS
Cianjur,Jawa Barat,6.5,0.27,10.14,64.2,39.62,7.33,107.15920943754904,-7.131087583913166,0.1805784810559889,0.1753373076025831,0.201892122193727,0.2118413153195039,0.2303507738281966,RLS
Bandung,Jawa Barat,19.0,0.04,6.19,55.7,36.1,9.15,107.60871481949384,-7.097622047167347,0.1957290610073253,0.1897264490036213,0.1902096711421478,0.2097763288594047,0.2145584899875004,RLS
Garut,Jawa Barat,10.5,0.27,9.68,59.5,34.99,7.85,107.78790783567622,-7.359562537820102,0.1696579559142046,0.1810123533958007,0.2013197666566707,0.2174099231399288,0.2306000008933948,RLS
Tasikmalaya,Jawa Barat,13.8,0.31,10.23,58.6,35.97,7.97,108.1415719198172,-7.496843981150498,0.1916537263545565,0.2010455327044889,0.189245389884108,0.1980199866195132,0.2200353644373331,RLS
Kuningan,Jawa Barat,17.1,0.12,11.88,57.6,33.41,7.9,108.55981852502002,-7.003404887424064,0.1774735821869824,0.2021279579524678,0.1866319609750282,0.1959258560587183,0.237840642826803,RLS
Majalengka,Jawa Barat,15.2,0.05,10.82,62.0,35.03,7.53,108.2572029526607,-6.815146795674016,0.18136124837924,0.1946278755382268,0.1945572674944219,0.2190211181645173,0.2104324904235936,Pangan Hewani
Sumedang,Jawa Barat,15.1,0.0,9.1,62.6,36.48,8.74,107.98127564190462,-6.824779401387033,0.1839267586490335,0.1771730855555748,0.203871575497658,0.2088335618356264,0.226195018462107,RLS
Indramayu,Jawa Barat,7.2,0.03,11.93,74.6,47.66,6.95,108.16902462080282,-6.447514365284484,0.1831588200150259,0.1980555173640384,0.1827254704916577,0.2058187820440707,0.2302414100852071,RLS
Subang,Jawa Barat,10.7,0.09,9.49,63.0,41.35,7.46,107.73182889631124,-6.484718768387501,0.1870471743157209,0.1836758519063489,0.2052286993573967,0.2132940964103272,0.210754178010206,Pangan Hewani
Purwakarta,Jawa Barat,10.5,0.36,8.41,61.1,37.24,8.14,107.43077631267826,-6.595278211047097,0.1837186959686824,0.1904788426327042,0.2012852121141504,0.211135103316283,0.2133821459681797,RLS
Karawang,Jawa Barat,14.4,0.1,7.86,66.5,41.74,8.05,107.35429605026344,-6.252353489098488,0.1820093032137312,0.1780796571687289,0.1887488022081764,0.207449074645294,0.2437131627640691,RLS
Bandung Barat,Jawa Barat,22.5,0.17,10.49,56.5,36.83,8.24,107.41497037809997,-6.890473576902961,0.1900895715715836,0.1864856517324203,0.1945438781966564,0.2110409096135916,0.2178399888857478,RLS
Pangandaran,Jawa Barat,13.8,0.08,8.75,68.5,44.17,8.1,108.51858285135356,-7.635665477729809,0.1776104527605928,0.1978330078341671,0.186310261264727,0.212473650813557,0.2257726273269557,RLS
Kota Bogor,Jawa Barat,18.1,0.07,6.53,56.0,39.82,10.71,106.79935742823352,-6.593494349655368,0.1646093995916328,0.1877302771416006,0.1844806045301173,0.215146711253593,0.2480330074830559,RLS
Kota Bandung,Jawa Barat,18.9,0.01,3.87,60.4,44.83,11.07,107.63660129164305,-6.919243848663767,0.1890296904233646,0.1896313333047613,0.1958917889050002,0.2155137629044083,0.2099334244624654,Pangan Hewani
Kota Cirebon,Jawa Barat,11.2,0.11,9.02,60.1,38.37,10.53,108.55330547429394,-6.741720482504672,0.1764701302642749,0.1804065711454925,0.2066171322512292,0.2197500369988931,0.21675612934011,Pangan Hewani
Kota Bekasi,Jawa Barat,9.2,0.02,4.01,68.7,57.47,11.79,106.97536482879472,-6.280841206488917,0.1631938970454906,0.1849622889541761,0.1868446714288675,0.2154355600337723,0.2495635825376932,RLS
Kota Depok,Jawa Barat,10.8,0.0,2.34,63.9,53.93,11.59,106.81683701493682,-6.396206601775873,0.1593000333036238,0.1847823757645325,0.2011265174958978,0.2204959249612825,0.2342951484746631,RLS
Kota Cimahi,Jawa Barat,18.6,0.0,4.39,60.3,46.4,11.52,107.54289589716412,-6.886320669202166,0.1818517181754014,0.1869347772566636,0.1898547256474949,0.2195447455720986,0.2218140333483413,RLS
Kota Tasikmalaya,Jawa Barat,17.2,0.04,11.1,70.7,41.89,9.63,108.2191232791145,-7.360532221887049,0.1856158907422654,0.1911951769816552,0.2024268633797504,0.2070905939218531,0.2136714749744755,RLS
Kota Banjar,Jawa Barat,16.3,0.0,5.85,72.0,44.81,8.83,108.56720422021196,-7.376990261576488,0.1601481502567673,0.2077085578526382,0.1936412291145396,0.2074975248950747,0.2310045378809798,RLS
Cilacap,Jawa Tengah,13.4,0.05,10.68,53.9,30.9,7.4,108.88988880495263,-7.4890247891386785,0.1647573146285421,0.2068051471213997,0.1935104599181994,0.205826873939519,0.2291002043923393,RLS
Banyumas,Jawa Tengah,16.9,0.0,11.95,59.0,33.42,7.91,109.1757981645107,-7.455537569167973,0.1511126687148634,0.2293625398278756,0.1869517622675009,0.2083205006654024,0.2242525285243574,Kemiskinan
Purbalingga,Jawa Tengah,19.5,0.01,14.18,55.3,28.53,7.36,109.40720551627332,-7.323247798887129,0.1346959220182785,0.2182560315210396,0.1974265844759822,0.2189572272303898,0.2306642347543095,RLS
Banjarnegara,Jawa Tengah,17.7,0.0,14.71,58.5,35.02,6.87,109.65703624623931,-7.351360606643116,0.1147183372412315,0.2322467717177756,0.1987286495804406,0.2119941877504831,0.2423120537100687,RLS
Kebumen,Jawa Tengah,15.8,0.05,15.71,59.2,32.7,7.87,109.61735609824662,-7.654989384783676,0.1113128536709929,0.2344452705676663,0.1869188115571914,0.2126834375194473,0.2546396266847017,RLS
Purworejo,Jawa Tengah,12.5,0.01,10.87,55.1,31.22,8.65,109.96612653977344,-7.7004079184761505,0.1046820737168013,0.2397461605219805,0.1977102518111124,0.2108095774631985,0.247051936486907,RLS
Wonosobo,Jawa Tengah,20.9,0.0,15.28,61.5,34.41,6.9,109.90735180500336,-7.416333553212304,0.107643331007409,0.2295754242164817,0.1986563045157171,0.2084705647990196,0.2556543754613724,RLS
Klaten,Jawa Tengah,18.0,0.0,12.04,55.1,35.15,9.29,110.61945331067204,-7.685830745365976,0.1046363532833515,0.2291201741567129,0.1944387517189135,0.2094081681482057,0.2623965526928161,RLS
Sukoharjo,Jawa Tengah,14.6,0.0,7.47,53.5,32.61,10.01,110.83483711036972,-7.680860488151314,0.1220355619411446,0.223170546321931,0.2009014270793269,0.1980922531785885,0.2558002114790086,RLS
Wonogiri,Jawa Tengah,12.7,0.06,10.71,57.8,34.06,7.68,110.99919480768588,-7.9193295657589085,0.1182969696983084,0.2196439235084533,0.1905742638476815,0.1981759914674973,0.2733088514780592,RLS
Sragen,Jawa Tengah,13.8,0.05,12.41,60.9,40.43,7.88,110.97414524103236,-7.385353425615331,0.1148607167615888,0.2082587680897963,0.2009765451002596,0.1999351244003112,0.2759688456480437,RLS
Grobogan,Jawa Tengah,20.8,0.03,11.43,62.1,34.34,7.29,110.92717974133718,-7.117657273655366,0.1024623363286212,0.2209552395954901,0.1975865453353891,0.2010219413191185,0.2779739374213806,RLS
Blora,Jawa Tengah,18.6,0.02,11.42,58.9,29.67,7.26,111.38743859788924,-7.074486341348664,0.1110612375037935,0.2241389702000006,0.2111493767599938,0.1915545456626814,0.2620958698735303,RLS
Rembang,Jawa Tengah,13.1,0.0,14.02,66.1,41.26,7.73,111.46151893903306,-6.775146217929815,0.1099892107552025,0.2203966715203607,0.199582104102666,0.2079421593065179,0.2620898543152525,RLS
Pati,Jawa Tengah,14.1,0.0,9.17,64.3,46.64,7.82,111.04228325657398,-6.74338987548177,0.11158766293791,0.2005561200999298,0.1878936931169771,0.2141625085978758,0.2858000152473071,RLS
Demak,Jawa Tengah,8.9,0.01,11.89,59.5,41.82,8.28,110.63399965361408,-6.910803353419228,0.0945021944403698,0.2193612278575968,0.2036001556429545,0.2131247813023854,0.2694116407566932,RLS
Temanggung,Jawa Tengah,22.0,0.0,8.67,53.8,31.67,7.53,110.13630652023456,-7.257714832910397,0.1093628059744253,0.2371900771426341,0.1928465349680301,0.2088582812391564,0.2517423006757538,RLS
Kendal,Jawa Tengah,16.0,0.0,9.35,63.0,40.8,7.74,110.15733776787089,-7.038718780426617,0.0937749505681772,0.2154927257420239,0.2153265944659273,0.2075823934729898,0.2678233357508814,RLS
Batang,Jawa Tengah,16.8,0.01,8.73,71.9,41.64,7.08,109.8615943275631,-7.021021538275435,0.1096794284099249,0.2197310898618628,0.2079000886291387,0.2252256764006979,0.2374637166983754,RLS
Pekalongan,Jawa Tengah,16.5,0.0,8.95,66.6,37.91,7.48,109.6205018635382,-7.057032028158278,0.1210135506009751,0.2177586833105763,0.2128188730440902,0.2173635063857896,0.2310453866585683,RLS
Pemalang,Jawa Tengah,15.4,0.05,14.92,66.5,33.58,6.56,109.39515996856666,-7.036848556871839,0.1444536962733466,0.2232402124017098,0.1934379346621545,0.2122396549056665,0.2266285017571224,RLS
Tegal,Jawa Tengah,12.5,0.04,6.81,56.2,26.21,7.36,109.1585076625251,-7.028805332104993,0.1341128864417705,0.2125257095019545,0.2021166168788888,0.2241809467212889,0.2270638404560969,RLS
Brebes,Jawa Tengah,20.1,0.04,15.6,59.5,28.16,6.41,108.9295305631962,-7.0628446739167146,0.1506696469839578,0.2140340749719166,0.2040778158412028,0.2024346621114142,0.2287838000915081,RLS
Kota Magelang,Jawa Tengah,12.5,0.0,5.94,50.4,33.64,11.43,110.22011135850184,-7.476555709194621,0.1014097537620094,0.2113502655589955,0.2089652314966243,0.212843769507311,0.2654309796750594,RLS
Kota Surakarta,Jawa Tengah,12.1,0.0,8.31,57.2,40.3,11.25,110.82314485195144,-7.557894806617499,0.1124205774077502,0.2166326973837372,0.196637245667569,0.2104487442894251,0.2638607352515181,RLS
Kota Salatiga,Jawa Tengah,12.1,0.0,4.57,58.4,48.53,11.48,110.49837395590411,-7.337679705704803,0.1025302635569597,0.2286448211559377,0.2088667723734466,0.2027137490313088,0.2572443938823469,RLS
Kota Semarang,Jawa Tengah,10.6,0.0,4.03,60.4,44.88,11.05,110.39152196864556,-7.023904499456902,0.1055048953707435,0.2265785464904578,0.2012684930206388,0.2101681671714554,0.2564798979467041,RLS
Kota Pekalongan,Jawa Tengah,16.9,0.0,6.71,66.7,38.42,9.34,109.67715498932589,-6.893409948111556,0.1257591817019226,0.2181521474157319,0.2024001202981289,0.219712922592824,0.2339756279913923,RLS
Kota Tegal,Jawa Tengah,15.3,0.05,7.64,64.7,34.84,9.28,109.11574700047314,-6.869175151932527,0.1391673154855122,0.2287049524763323,0.1879206870923611,0.2041291672369484,0.2400778777088456,RLS
Kulon Progo,Daerah Istimewa Yogyakarta,14.8,0.0,15.62,52.1,27.46,9.2,110.1671126699347,-7.818736917597111,0.1173839183356967,0.2240366304938567,0.1938117838263453,0.2016715086065141,0.2630961587375868,RLS
Bantul,Daerah Istimewa Yogyakarta,14.9,0.0,11.66,62.6,39.19,9.81,110.35488006213188,-7.901344799623574,0.1074903209432115,0.2311221169036432,0.2002018146782615,0.2028214404730353,0.2583643070018481,RLS
Gunungkidul,Daerah Istimewa Yogyakarta,16.3,0.0,15.18,56.0,31.86,7.35,110.61179879403028,-7.993948784303947,0.1059573412993706,0.2147899014371028,0.2099788489705586,0.2057200179794417,0.2635538903135259,RLS
Sleman,Daerah Istimewa Yogyakarta,13.9,0.0,7.46,68.6,45.49,11.33,110.38321196173594,-7.716478296338778,0.1044492016719941,0.2236759433229996,0.2108977123975294,0.2122736505524037,0.2487034920550728,RLS
Kota Yogyakarta,Daerah Istimewa Yogyakarta,12.9,0.0,6.26,65.0,45.0,12.12,110.37435813115398,-7.803298442473046,0.111160113222926,0.2309115485974943,0.2006782420283205,0.2029544582270735,0.2542956379241855,RLS
Pacitan,Jawa Timur,10.6,0.12,13.08,60.9,31.42,7.9,111.1780820212792,-8.124980105125589,0.1161031315621453,0.2237322017581851,0.1961261868577251,0.1868548001587055,0.2771836796632387,RLS
Trenggalek,Jawa Timur,5.7,0.12,10.5,56.7,36.88,7.92,111.627311597125,-8.160699394315703,0.1129810785931063,0.2237763228479218,0.205804533475517,0.1997733927693427,0.2576646723141118,RLS
Tulungagung,Jawa Timur,11.5,0.04,6.28,56.7,40.29,8.68,111.88772958526988,-8.113516890566254,0.1351490545765496,0.2201985076667117,0.1881343242304043,0.2076253909990612,0.2488927225272728,RLS
Blitar,Jawa Timur,16.1,0.02,8.16,55.9,31.81,7.87,112.23721591648514,-8.131053741184221,0.0997693104576909,0.2387105196430184,0.2040354132965096,0.1978165127601886,0.2596682438425921,RLS
Kediri,Jawa Timur,6.9,0.0,9.95,55.5,31.16,8.26,112.0892166054285,-7.828721658201287,0.1080593701121743,0.2274901017718741,0.1970971175187909,0.2232420943932103,0.2441113162039501,RLS
Malang,Jawa Timur,19.0,0.02,8.98,54.0,34.14,7.8,112.6409269189134,-8.126035414008658,0.1079678290799761,0.2467375622545259,0.2116726077882536,0.2038305380379562,0.2297914628392879,Kemiskinan
Lumajang,Jawa Timur,19.1,0.0,8.65,67.7,42.03,7.27,113.13848937379149,-8.125480997209241,0.1250244217039452,0.2265740526635468,0.2186911734304331,0.1905240158783021,0.2391863363237724,RLS
Jember,Jawa Timur,23.5,0.02,9.01,60.5,34.31,6.54,113.65595071109944,-8.235203896497016,0.1282839425830779,0.2313151071529396,0.2149697032649601,0.2002988106631307,0.2251324363358913,Kemiskinan
Banyuwangi,Jawa Timur,14.4,0.02,6.54,68.7,46.1,7.78,114.2059006442583,-8.364828060542473,0.1461616921281817,0.2330734379068907,0.2228993359729376,0.1909471493141733,0.2069183846778163,Kemiskinan
Bondowoso,Jawa Timur,7.7,0.06,12.6,64.2,38.05,6.53,113.94770725091205,-7.943712785040243,0.1408913056803103,0.2360372476685423,0.2184182062610961,0.1823116900661209,0.2223415503239301,Kemiskinan
Situbondo,Jawa Timur,8.1,0.09,11.51,64.1,36.72,6.93,114.05137530115869,-7.801458850018413,0.1412483221855311,0.239463542455127,0.2197542105159243,0.1887424543536849,0.2107914704897323,Kemiskinan
Pasuruan,Jawa Timur,20.3,0.02,8.63,59.7,37.2,7.46,112.83185168143284,-7.742461231256752,0.1094493850652139,0.2519435541459349,0.2228855377803573,0.1949641227937414,0.2207574002147521,Kemiskinan
Mojokerto,Jawa Timur,12.2,0.02,9.37,57.5,37.44,9.13,112.48444691478744,-7.550736022717538,0.1130327085586164,0.2339072221554891,0.1997059020981997,0.192268799247217,0.2610853679404774,RLS
Jombang,Jawa Timur,15.0,0.01,8.6,58.0,35.39,8.78,112.26409573616417,-7.544678451640593,0.104345591231284,0.2279004722874851,0.2105160342224841,0.207703491904367,0.2495344103543795,RLS
Nganjuk,Jawa Timur,18.3,0.05,10.17,68.3,34.11,8.25,111.93853422905082,-7.597532620375048,0.1167851630054749,0.2323002265655668,0.1925324937992893,0.1958693378950088,0.26251277873466,RLS
Madiun,Jawa Timur,9.1,0.0,10.63,61.0,34.05,8.2,111.64585034961064,-7.623649069620709,0.1244548544282118,0.2192503506772285,0.2005634331166005,0.202070126584514,0.2536612351934449,RLS
Magetan,Jawa Timur,8.8,0.0,9.32,55.7,34.73,8.69,111.3574307851203,-7.66339529238236,0.1115924252766275,0.2173928849179844,0.1973646692872585,0.1973656552488258,0.2762843652693035,RLS
Ngawi,Jawa Timur,10.0,0.0,13.81,70.8,40.59,7.84,111.34341497092724,-7.438844735362879,0.1154398951176366,0.221753052532225,0.2074660443878485,0.1889837894060543,0.2663572185562353,RLS
Bojonegoro,Jawa Timur,9.7,0.0,11.69,56.2,33.13,7.59,111.80986719525384,-7.255608194478818,0.1237603012364749,0.2295466055104139,0.1941566627533197,0.1990374634973737,0.2534989670024175,RLS
Tuban,Jawa Timur,9.4,0.0,14.36,58.7,40.2,7.53,111.89225098232264,-6.953438095151446,0.1187515924675341,0.2286615173755289,0.1963651728769415,0.1996280874327033,0.2565936298472919,RLS
Lamongan,Jawa Timur,6.7,0.0,12.16,60.9,43.99,8.48,112.30073550109849,-7.131469464220669,0.1118701323012784,0.2246820652136421,0.2102642357792291,0.2098623752082125,0.2433211914976375,RLS
Gresik,Jawa Timur,12.4,0.02,10.32,64.8,55.88,10.03,112.558604282019,-6.927041213275503,0.1033082489980018,0.2232294558111935,0.1951024863681408,0.212786578270911,0.2655732305517526,RLS
Bangkalan,Jawa Timur,16.0,0.3,18.66,55.9,40.01,6.01,112.92953237795118,-7.044357508221856,0.1103527640412402,0.2353633217944383,0.2154976018461506,0.1919834204061882,0.2468028919119823,RLS
Sampang,Jawa Timur,15.5,0.13,20.83,61.3,43.33,5.08,113.25633666178466,-7.052056582714423,0.118180441488686,0.2267268249347134,0.2128754247259662,0.1950031122033985,0.2472141966472355,RLS
Sumenep,Jawa Timur,15.5,0.16,17.78,77.4,58.84,6.1,114.40311118085748,-6.9664732277108765,0.1617230611609861,0.2184208029544476,0.222077982306899,0.2133242692902287,0.1844538842874383,Konsumsi Protein
Kota Kediri,Jawa Timur,16.1,0.0,6.51,58.6,36.78,10.92,112.0161244224182,-7.826371927674188,0.1183346670456962,0.2253556699729869,0.1896004110979297,0.2089457237506792,0.2577635281327077,RLS
Kota Blitar,Jawa Timur,9.5,0.0,6.75,53.2,32.61,10.82,112.16697095993182,-8.094767817164099,0.1132964639493417,0.2246598774241464,0.2014612771233636,0.202121022339849,0.2584613591632989,RLS
Kota Malang,Jawa Timur,18.5,0.0,3.91,55.6,42.18,11.14,112.63590746906978,-7.978304430833298,0.118602046852798,0.2256761844137337,0.2157493488420971,0.1937315131587807,0.2462409067325901,RLS
Kota Pasuruan,Jawa Timur,15.2,0.0,6.32,63.6,47.76,9.94,112.91000451887004,-7.649573198382243,0.1167286291301179,0.237983119974155,0.2106559984026236,0.1854583250427212,0.249173927450382,RLS
Kota Madiun,Jawa Timur,10.1,0.0,4.38,62.9,45.4,12.11,111.52726704103895,-7.629455300071029,0.1111253091020429,0.2275319999431812,0.1892386424023015,0.1933638532858531,0.2787401952666208,RLS
Kota Batu,Jawa Timur,21.2,0.0,3.06,54.0,37.76,9.87,112.53375478016014,-7.834684964606332,0.110425314536452,0.2328211307005364,0.2043203146298303,0.2092209529956228,0.2432122871375581,RLS
Pandeglang,Banten,21.9,0.19,9.18,59.1,33.71,7.16,105.74291693800568,-6.590328399888732,0.1620322379323088,0.1555619497404754,0.1941076883517978,0.1923910058410501,0.2959071181343676,RLS
Lebak,Banten,25.3,0.23,8.44,70.0,41.94,6.61,106.212422410476,-6.64210546440096,0.1652451007629862,0.1817751368704621,0.1705119091583971,0.2263741414604249,0.2560937117477295,RLS
Tangerang,Banten,19.1,0.01,6.55,65.6,48.86,9.06,106.51892837880612,-6.174491179396564,0.1684746036711751,0.1835653162985288,0.1842149378508569,0.2037339841505073,0.2600111580289315,RLS
Serang,Banten,15.1,0.23,4.51,62.0,42.55,7.88,106.1460770490353,-6.141766745879202,0.1616744786945151,0.1826699657931586,0.1876467797095632,0.2104671405676602,0.2575416352351026,RLS
Kota Tangerang,Banten,10.1,0.03,5.43,72.6,61.56,11.14,106.65199465801548,-6.184374533547935,0.1768778212997052,0.1895140601904856,0.1799073811053287,0.2061799783381657,0.2475207590663145,RLS
Kota Cilegon,Banten,15.1,0.0,3.75,59.4,46.64,10.39,106.01849182447592,-5.998901076815241,0.1570927264291898,0.1810688581356048,0.1903788814201466,0.1992868414430888,0.2721726925719696,RLS
Kota Serang,Banten,17.1,0.27,5.65,65.1,41.55,8.93,106.16675011655757,-6.123329971477472,0.1638346873279816,0.1748365544202328,0.1893188233274772,0.2137179534796659,0.2582919814446422,RLS
Kota Tangerang Selatan,Banten,9.0,0.0,2.36,65.6,58.18,11.86,106.7073856687301,-6.3021235706047545,0.1731795513406757,0.1783416701335373,0.1865676945566154,0.2138011261584568,0.2481099578107145,RLS
Jembrana,Bali,6.0,0.0,4.51,68.8,47.87,8.7,114.6828995943632,-8.31313912547214,0.1463586469673607,0.2346766546146576,0.2187080678722851,0.2074400202564032,0.1928166102892931,Kemiskinan
Tabanan,Bali,6.8,0.0,4.4,63.1,44.76,9.57,115.07827352026872,-8.430257983811046,0.1632645411607655,0.2417636813645851,0.2173056373202552,0.1859799209254092,0.1916862192289846,Kemiskinan
Badung,Bali,5.3,0.0,2.23,74.3,53.65,11.14,115.18836957002604,-8.582974692106328,0.1734111839023314,0.2478375822077271,0.2003193905347206,0.1853330927657258,0.1930987505894948,Kemiskinan
Gianyar,Bali,4.7,0.0,4.0,69.2,45.22,9.84,115.2874863983658,-8.481002847985572,0.1797864457135106,0.2434628205893439,0.1990416567389882,0.2024973538637518,0.1752117230944051,Kemiskinan
Klungkung,Bali,4.8,0.0,5.3,61.7,33.53,8.74,115.49367524646318,-8.66699294324717,0.2010670142565155,0.2495977999182062,0.1856633065201373,0.1970020125099203,0.1666698667952204,Kemiskinan
Bangli,Bali,6.5,0.0,5.06,68.1,45.76,7.58,115.34729446745668,-8.29315451865909,0.1832376924080616,0.2410503959595539,0.1948893248476586,0.2014434133504505,0.179379173434275,Kemiskinan
Karangasem,Bali,10.8,0.0,6.52,58.5,34.42,6.7,115.52989330210744,-8.374292559830064,0.2068689715263724,0.2490412779946182,0.1883395748094395,0.1878738656138114,0.1678763100557582,Kemiskinan
Buleleng,Bali,12.4,0.02,5.39,63.3,39.85,7.69,114.96090544765492,-8.200968666395617,0.1676355174821835,0.238926646799262,0.2065989069163503,0.1997697217366696,0.1870692070655343,Kemiskinan
Lombok Timur,Nusa Tenggara Barat,25.1,0.36,14.51,82.9,53.32,7.36,116.53079859334484,-8.532427285235778,0.2056774074494994,0.2852432190026275,0.1571354076437717,0.1928997603740034,0.1590442055300976,Kemiskinan
Sumbawa,Nusa Tenggara Barat,23.8,0.05,12.87,64.8,53.72,8.59,117.484277667576,-8.703445702038778,0.204461168629331,0.2973884290218298,0.155034809836379,0.1752972424768497,0.1678183500356101,Kemiskinan
Dompu,Nusa Tenggara Barat,14.6,0.18,11.59,72.0,60.83,9.04,118.2169368367669,-8.472328890657908,0.1952273010394366,0.3213392505346856,0.1528287159035108,0.1756906370056583,0.1549140955167084,Kemiskinan
Lombok Utara,Nusa Tenggara Barat,28.4,0.12,23.96,79.5,57.41,6.4,116.28290940922396,-8.348910481840033,0.2234816637695896,0.2645046806740108,0.1628748240279427,0.2014664023686249,0.1476724291598318,Kemiskinan
Kota Mataram,Nusa Tenggara Barat,19.3,0.12,8.0,81.6,56.95,9.58,116.11095866982494,-8.590155607146805,0.2034579959572407,0.258763340380551,0.1777648079648997,0.1880561982477789,0.1719576574495295,Kemiskinan
Kota Bima,Nusa Tenggara Barat,22.0,0.24,8.12,69.6,53.83,10.96,118.78210800264672,-8.454873771388707,0.1724814892749961,0.2961142551589819,0.1684962012976726,0.1987263569864893,0.1641816972818598,Kemiskinan
Sumba Barat,Nusa Tenggara Timur,26.2,0.02,26.52,51.4,28.55,7.17,119.38337502514884,-9.641463028395236,0.1873016225613762,0.298428335187811,0.1579519972304557,0.1981914027083929,0.1581266423119638,Kemiskinan
Sumba Timur,Nusa Tenggara Timur,23.8,0.02,27.04,58.9,33.38,7.77,120.25485581743736,-9.878011835857036,0.1652663165698543,0.2923625705181604,0.1666182597356625,0.2082244786665817,0.1675283745097409,Kemiskinan
Kupang,Nusa Tenggara Timur,30.4,0.15,21.37,50.7,26.39,7.62,123.86139205699524,-9.916414074914623,0.1425418229305773,0.211041424682543,0.1319198686242089,0.3087852433115772,0.2057116404510934,Pangan Hewani
Timor Tengah Selatan,Nusa Tenggara Timur,36.8,0.2,24.68,50.7,20.28,7.21,124.39708710788776,-9.82934324108813,0.1330625638160737,0.2003830780226626,0.1356796113538341,0.3115674215385007,0.2193073252689286,Pangan Hewani
Timor Tengah Utara,Nusa Tenggara Timur,35.4,0.13,20.89,58.3,28.03,8.17,124.56918295036068,-9.37795586550336,0.10893952049644,0.2022372716008154,0.1444269915645822,0.3206305377700807,0.2237656785680814,Pangan Hewani
Belu,Nusa Tenggara Timur,31.3,0.05,13.86,55.0,27.42,7.5,124.96741357464556,-9.155145456576337,0.1338368900593432,0.1999176235907905,0.1315978874245337,0.3260483593544018,0.2085992395709305,Pangan Hewani
Alor,Nusa Tenggara Timur,27.9,0.32,19.87,51.1,36.32,8.61,124.56841001104117,-8.303944527058846,0.1141482814217246,0.2136478348797225,0.1404559938452339,0.3051784893749143,0.2265694004784045,Pangan Hewani
Lembata,Nusa Tenggara Timur,20.4,0.03,24.22,48.0,40.1,8.27,123.5407862873368,-8.381219235367647,0.1302801174739131,0.2361353339233061,0.1466385972352578,0.2873915004915204,0.1995544508760023,Pangan Hewani
Flores Timur,Nusa Tenggara Timur,23.8,0.0,11.25,60.3,42.75,8.06,122.94446426291826,-8.365197502788154,0.1447408870006649,0.2304626097923368,0.1527980840539716,0.2710124253293364,0.2009859938236901,Pangan Hewani
Sikka,Nusa Tenggara Timur,22.0,0.02,11.89,55.6,35.72,6.99,122.30663858044764,-8.609387628966873,0.1417665967776851,0.2530169156504354,0.1437289759769445,0.2598027952134149,0.2016847163815198,Pangan Hewani
Ende,Nusa Tenggara Timur,24.8,0.0,22.57,52.7,33.46,8.29,121.73543333366304,-8.676398175576177,0.1415472089417645,0.2706863235167011,0.165518163353342,0.2313722748913975,0.1908760292967947,Kemiskinan
Ngada,Nusa Tenggara Timur,26.0,0.01,11.87,63.2,36.94,8.83,121.00156407813432,-8.664640463637106,0.1516603583633533,0.2908844537070231,0.1639376354068019,0.2057620173437782,0.1877555351790433,Kemiskinan
